index,singular_value
83,2.2319344220430994e+03
84,2.2314816485273100e+03
85,2.2280894464010016e+03
86,2.2265867114485663e+03
87,2.2213710981355171e+03
88,2.2175130581360017e+03
89,2.2140931978137091e+03
90,2.2114706481395629e+03
91,2.2095638427740914e+03
92,2.2062490453104779e+03
93,2.2055593374670498e+03
94,2.2038012300217324e+03
95,2.1982402357197752e+03
96,2.1963728590271112e+03
97,2.1935449399549689e+03
98,2.1917457237146937e+03
99,2.1872293173618054e+03
100,2.1847602090775772e+03
101,2.1828548373796712e+03
102,2.1781765966824510e+03
103,2.1770149777847168e+03
104,2.1738167357695093e+03
105,2.1723654314799173e+03
106,2.1702876613288681e+03
107,2.1685290411441397e+03
108,2.1656040544814109e+03
109,2.1650315631035260e+03
110,2.1627389647765249e+03
111,2.1593254997477566e+03
112,2.1581183917258072e+03
113,2.1558120625655051e+03
114,2.1542814247634333e+03
115,2.1527404378741644e+03
116,2.1507208444423104e+03
117,2.1495818626721502e+03
118,2.1448944711821864e+03
119,2.1442016001619882e+03
120,2.1405014529961977e+03
121,2.1397109454454053e+03
122,2.1360299671577095e+03
123,2.1349466427035054e+03
124,2.1343159198675521e+03
125,2.1322195207778891e+03
126,2.1284518941589317e+03
127,2.1226642601677236e+03
128,2.1214916191981320e+03
129,2.1206841044028470e+03
130,2.1184504076002390e+03
131,2.1175243655826812e+03
132,2.1160603152095682e+03
133,2.1151491920258959e+03
134,2.1111941565539551e+03
135,2.1107209087091824e+03
136,2.1072996943961775e+03
137,2.1059863704799732e+03
138,2.1049812530886024e+03
139,2.1040199296830533e+03
140,2.1022516694557103e+03
141,2.0994803936438793e+03
142,2.0990616753743193e+03
143,2.0966699539840010e+03
144,2.0954314160179242e+03
145,2.0939000460879138e+03
146,2.0905661460361030e+03
147,2.0901722891494005e+03
148,2.0884875841415123e+03
149,2.0866468876880285e+03
150,2.0853373903136039e+03
151,2.0830190277586612e+03
152,2.0820458678080072e+03
153,2.0790997679238162e+03
154,2.0775939450669039e+03
155,2.0755597197154220e+03
156,2.0734825049731007e+03
157,2.0722647277966280e+03
158,2.0720466606821110e+03
159,2.0701247635589075e+03
160,2.0675180812787353e+03
161,2.0659826868340297e+03
162,2.0633285780078822e+03
163,2.0615637542166492e+03
164,2.0604532526168146e+03
165,2.0565552798162889e+03
166,2.0564528612644440e+03
167,2.0549280432200153e+03
168,2.0537658570058998e+03
169,2.0509127407142914e+03
170,2.0487104799541194e+03
171,2.0476273483420662e+03
172,2.0471335766630064e+03
173,2.0461353448657860e+03
174,2.0450027975451321e+03
175,2.0431077663069557e+03
176,2.0409407604881171e+03
177,2.0397671492401967e+03
178,2.0376445233902630e+03
179,2.0345109731031828e+03
180,2.0330847431507109e+03
181,2.0322782318915051e+03
182,2.0311065319481363e+03
183,2.0287376782992594e+03
184,2.0281549623189765e+03
185,2.0260568819553928e+03
186,2.0244645309830723e+03
187,2.0214161580484329e+03
188,2.0208644382241462e+03
189,2.0194547638568229e+03
190,2.0186032368898043e+03
191,2.0148523813598974e+03
192,2.0141898823588172e+03
193,2.0131255232827741e+03
194,2.0111560916125488e+03
195,2.0097013833461585e+03
196,2.0091615088161836e+03
197,2.0076141664087049e+03
198,2.0068618089477541e+03
199,2.0049213065302686e+03
200,2.0027940639127314e+03
201,1.9996428573383002e+03
202,1.9994434862763690e+03
203,1.9964811113062888e+03
204,1.9948146904619889e+03
205,1.9939049509670258e+03
206,1.9916853897817589e+03
207,1.9914202079741754e+03
208,1.9893214301074179e+03
209,1.9890279400511006e+03
210,1.9879850540256386e+03
211,1.9870024060386615e+03
212,1.9842033837747779e+03
213,1.9837314059600478e+03
214,1.9806338147682909e+03
215,1.9789266223650102e+03
216,1.9777510353653950e+03
217,1.9759802794489726e+03
218,1.9740890799890180e+03
219,1.9731970046074593e+03
220,1.9707640202610112e+03
221,1.9706859594901844e+03
222,1.9687281159259092e+03
223,1.9658746863179058e+03
224,1.9652748157025737e+03
225,1.9635265416971899e+03
226,1.9609536293318497e+03
227,1.9607677820658130e+03
228,1.9594231629984272e+03
229,1.9584489691576857e+03
230,1.9570743364403852e+03
231,1.9557178617923710e+03
232,1.9539537972508201e+03
233,1.9521104222379131e+03
234,1.9515260036287434e+03
235,1.9503475999081090e+03
236,1.9495372063782581e+03
237,1.9473492034543153e+03
238,1.9468095355072940e+03
239,1.9459655486104223e+03
240,1.9449409833939292e+03
241,1.9439421872491171e+03
242,1.9421224340808951e+03
243,1.9395667909098001e+03
244,1.9382554125272409e+03
