index,singular_value
82,1.8894443364951013e+24
83,1.8826861890293339e+24
84,1.8812912470233379e+24
85,1.8674620518262454e+24
86,1.8533128502279037e+24
87,1.8514353384750133e+24
88,1.8482028286754165e+24
89,1.8424741094000345e+24
90,1.8217549553483525e+24
91,1.8180232894804142e+24
92,1.8085381619647857e+24
93,1.8071888597245691e+24
94,1.7920893576433202e+24
95,1.7799333269555474e+24
96,1.7764864512948760e+24
97,1.7668367433932813e+24
98,1.7596136588925491e+24
99,1.7516266494131167e+24
100,1.7497110562666713e+24
101,1.7484875711433802e+24
102,1.7384024947506967e+24
103,1.7297617536745293e+24
104,1.7290777091904991e+24
105,1.7216842949422088e+24
106,1.7134898357943609e+24
107,1.7059211340334468e+24
108,1.6976821539239538e+24
109,1.6875184838800975e+24
110,1.6789443067097581e+24
111,1.6752365431101680e+24
112,1.6665821110860744e+24
113,1.6442827649198475e+24
114,1.6309050993441231e+24
115,1.6271090677676796e+24
116,1.6235507070468222e+24
117,1.6193378174796463e+24
118,1.6160900448190659e+24
119,1.6150953372611636e+24
120,1.6086748543342660e+24
121,1.6046713848736587e+24
122,1.5980223020210730e+24
123,1.5936501140569318e+24
124,1.5823689981441732e+24
125,1.5784026474857299e+24
126,1.5707488044586320e+24
127,1.5691885050463323e+24
128,1.5650936713385138e+24
129,1.5610619572299228e+24
130,1.5577232535479853e+24
131,1.5537256149681238e+24
132,1.5521013974835562e+24
133,1.5406889571589267e+24
134,1.5378334226092603e+24
135,1.5366347870078891e+24
136,1.5351211252566368e+24
137,1.5296521200946314e+24
138,1.5232420799452798e+24
139,1.5210076441710275e+24
140,1.5135422732025059e+24
141,1.5074664336354423e+24
142,1.5033207408753142e+24
143,1.4963472777243477e+24
144,1.4928939171633280e+24
145,1.4880627932629547e+24
146,1.4817426488729154e+24
147,1.4764954575877727e+24
148,1.4737161891906953e+24
149,1.4718793052021674e+24
150,1.4604358406962515e+24
151,1.4596938821516926e+24
152,1.4581216022781562e+24
153,1.4562326785882386e+24
154,1.4496426429534450e+24
155,1.4491545562939096e+24
156,1.4444978626836013e+24
157,1.4434817209826523e+24
158,1.4344625294045397e+24
159,1.4330366513524870e+24
160,1.4308593253347189e+24
161,1.4265416171521558e+24
162,1.4248883206185552e+24
163,1.4200952769251453e+24
164,1.4177305858439675e+24
165,1.4151456632662820e+24
166,1.4113914319534210e+24
167,1.4073107524256979e+24
168,1.4059973782372640e+24
169,1.4005123333865984e+24
170,1.3995571546326989e+24
171,1.3963862457859427e+24
172,1.3920535249989774e+24
